Workbook_ID,Template_Path,Expected_SHA256,Variant,Variant_SHA256,Matches_Expected,Byte_Length
WB-05,docs/testing/workbooks/text-templates/05_Custom_OpenVINO_TurboQuant_Controlled_Retest_Workbook_v1.md,b91af6ce26f19b019d514aee0d5b71ad8fc3bd95921de69757fa9552f6876d42,current-repository-bytes,bc412ff3049805848b651ba6a45e28ba5b1c1a13a6e8160f5f57391399c037f7,False,19216
WB-05,docs/testing/workbooks/text-templates/05_Custom_OpenVINO_TurboQuant_Controlled_Retest_Workbook_v1.md,b91af6ce26f19b019d514aee0d5b71ad8fc3bd95921de69757fa9552f6876d42,utf8-lf-no-bom-no-final-newline,305cc341045bc050f54201eb9e2712d8f7627743f756f0a33e38764284c3f18e,False,19215
WB-05,docs/testing/workbooks/text-templates/05_Custom_OpenVINO_TurboQuant_Controlled_Retest_Workbook_v1.md,b91af6ce26f19b019d514aee0d5b71ad8fc3bd95921de69757fa9552f6876d42,utf8-lf-no-bom-one-final-newline,bc412ff3049805848b651ba6a45e28ba5b1c1a13a6e8160f5f57391399c037f7,False,19216
WB-05,docs/testing/workbooks/text-templates/05_Custom_OpenVINO_TurboQuant_Controlled_Retest_Workbook_v1.md,b91af6ce26f19b019d514aee0d5b71ad8fc3bd95921de69757fa9552f6876d42,utf8-crlf-no-bom-no-final-newline,c26ded1aabdf3747fe0b9b2ffce86545640df5098717706728c1c20a9a22b691,False,19539
WB-05,docs/testing/workbooks/text-templates/05_Custom_OpenVINO_TurboQuant_Controlled_Retest_Workbook_v1.md,b91af6ce26f19b019d514aee0d5b71ad8fc3bd95921de69757fa9552f6876d42,utf8-crlf-no-bom-one-final-newline,b629f1aebcc178dc37f4ebd01fbdc061d21ffb133510dbfcaf589d16d86ca640,False,19541
WB-05,docs/testing/workbooks/text-templates/05_Custom_OpenVINO_TurboQuant_Controlled_Retest_Workbook_v1.md,b91af6ce26f19b019d514aee0d5b71ad8fc3bd95921de69757fa9552f6876d42,utf8-lf-bom-no-final-newline,364424597b9e76c5e03e9fa7d5f3385f50fb8b1c5836fe519240443f6672a176,False,19218
WB-05,docs/testing/workbooks/text-templates/05_Custom_OpenVINO_TurboQuant_Controlled_Retest_Workbook_v1.md,b91af6ce26f19b019d514aee0d5b71ad8fc3bd95921de69757fa9552f6876d42,utf8-lf-bom-one-final-newline,f96d88ce00a85c2896ca87e140c67251515d725b93edadebb76c2be5eef2f392,False,19219
WB-05,docs/testing/workbooks/text-templates/05_Custom_OpenVINO_TurboQuant_Controlled_Retest_Workbook_v1.md,b91af6ce26f19b019d514aee0d5b71ad8fc3bd95921de69757fa9552f6876d42,utf8-crlf-bom-no-final-newline,c8e2cbf0bf0fe7446d8159751b90d1451ed4298e2611e3b3a6d634901145716e,False,19542
WB-05,docs/testing/workbooks/text-templates/05_Custom_OpenVINO_TurboQuant_Controlled_Retest_Workbook_v1.md,b91af6ce26f19b019d514aee0d5b71ad8fc3bd95921de69757fa9552f6876d42,utf8-crlf-bom-one-final-newline,64a5dce11a1337bee735e4f0322a477a7baff2bea7f96b7021ecc9a5877ca401,False,19544
WB-05,docs/testing/workbooks/text-templates/05_Custom_OpenVINO_TurboQuant_Controlled_Retest_Workbook_v1.md,b91af6ce26f19b019d514aee0d5b71ad8fc3bd95921de69757fa9552f6876d42,utf16le-lf-bom-no-final-newline,b641ca3ae4af1b0f183cfb7e98f7dd3b22be2af350af606532e7a8f3dc26a1f3,False,38432
WB-05,docs/testing/workbooks/text-templates/05_Custom_OpenVINO_TurboQuant_Controlled_Retest_Workbook_v1.md,b91af6ce26f19b019d514aee0d5b71ad8fc3bd95921de69757fa9552f6876d42,utf16le-lf-bom-one-final-newline,3dc0c69b9dc4390d824da9bde8459067ae231aac1fbf499039232a751f0dedda,False,38434
WB-05,docs/testing/workbooks/text-templates/05_Custom_OpenVINO_TurboQuant_Controlled_Retest_Workbook_v1.md,b91af6ce26f19b019d514aee0d5b71ad8fc3bd95921de69757fa9552f6876d42,utf16le-crlf-bom-one-final-newline,aa24c9a35bc903ffcbdf8b675141de468bd25b990d7c13f78f18a3e0331520ed,False,39084
